prompt_id,source_workload_id,prompt,target_sla,target_energy,target_imbalance,target_fairness,target_carbon
prompt-003536,workload-000909,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=normal; cpu=4.48; memory_gb=19.70; latency_budget_ms=268.2; energy_sensitivity=0.95; edge_locality=0.22",0.2,0.3,0.17,0.1,0.23
prompt-003537,workload-000210,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=3; regime=normal; cpu=2.78; memory_gb=5.20; latency_budget_ms=77.6; energy_sensitivity=0.27; edge_locality=0.67",0.51,0.11,0.18,0.13,0.07
prompt-003538,workload-003123,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=0.88; memory_gb=4.89; latency_budget_ms=38.7; energy_sensitivity=0.55; edge_locality=0.93",0.53,0.13,0.13,0.08,0.13
prompt-003539,workload-003457,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=burst; cpu=4.87; memory_gb=23.89; latency_budget_ms=280.1; energy_sensitivity=1.00; edge_locality=0.34",0.26,0.27,0.17,0.1,0.2
prompt-003540,workload-000518,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=normal; cpu=7.03; memory_gb=16.08; latency_budget_ms=242.5; energy_sensitivity=0.81; edge_locality=0.05",0.2,0.3,0.17,0.1,0.23
prompt-003541,workload-004658,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=energy-scarcity; cpu=1.14; memory_gb=5.73; latency_budget_ms=97.3; energy_sensitivity=0.33; edge_locality=0.31",0.4,0.19,0.15,0.13,0.13
prompt-003542,workload-004722,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=1; regime=energy-scarcity; cpu=5.38; memory_gb=10.54; latency_budget_ms=191.3; energy_sensitivity=0.52; edge_locality=0.61",0.26,0.28,0.15,0.15,0.16
prompt-003543,workload-002134,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=high-contention; cpu=7.17; memory_gb=18.98; latency_budget_ms=303.7; energy_sensitivity=0.83; edge_locality=0.18",0.26,0.27,0.17,0.1,0.2
prompt-003544,workload-001163,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=2.98; memory_gb=2.71; latency_budget_ms=112.4; energy_sensitivity=0.32; edge_locality=0.53",0.45,0.14,0.18,0.13,0.1
prompt-003545,workload-003270,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=2.03; memory_gb=2.27; latency_budget_ms=39.1; energy_sensitivity=0.51; edge_locality=0.93",0.53,0.13,0.13,0.08,0.13
prompt-003546,workload-002479,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=high-contention; cpu=2.65; memory_gb=5.05; latency_budget_ms=103.2; energy_sensitivity=0.24; edge_locality=0.54",0.45,0.14,0.18,0.13,0.1
prompt-003547,workload-004836,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=energy-scarcity; cpu=3.48; memory_gb=3.93; latency_budget_ms=93.6; energy_sensitivity=0.28; edge_locality=0.55",0.4,0.19,0.15,0.13,0.13
prompt-003548,workload-001554,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=high-contention; cpu=0.92; memory_gb=5.05; latency_budget_ms=48.2; energy_sensitivity=0.55; edge_locality=0.95",0.53,0.13,0.13,0.08,0.13
prompt-003549,workload-003578,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=burst; cpu=4.53; memory_gb=13.97; latency_budget_ms=111.9; energy_sensitivity=0.44; edge_locality=0.30",0.31,0.23,0.18,0.15,0.13
prompt-003550,workload-002031,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=1; regime=high-contention; cpu=2.07; memory_gb=9.39; latency_budget_ms=159.5; energy_sensitivity=0.69; edge_locality=0.23",0.31,0.23,0.18,0.15,0.13
prompt-003551,workload-003370,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=burst; cpu=0.85; memory_gb=5.60; latency_budget_ms=95.1; energy_sensitivity=0.25; edge_locality=0.65",0.45,0.14,0.18,0.13,0.1
prompt-003552,workload-003745,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=burst; cpu=3.59; memory_gb=9.10; latency_budget_ms=117.1; energy_sensitivity=0.31; edge_locality=0.68",0.45,0.14,0.18,0.13,0.1
prompt-003553,workload-001790,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=high-contention; cpu=3.05; memory_gb=5.53; latency_budget_ms=48.7; energy_sensitivity=0.36; edge_locality=0.79",0.5,0.13,0.14,0.1,0.13
prompt-003554,workload-002567,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=burst; cpu=2.06; memory_gb=4.37; latency_budget_ms=110.3; energy_sensitivity=0.47; edge_locality=0.33",0.45,0.14,0.18,0.13,0.1
prompt-003555,workload-000968,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=normal; cpu=1.36; memory_gb=5.81; latency_budget_ms=114.3; energy_sensitivity=0.29; edge_locality=0.41",0.45,0.14,0.18,0.13,0.1
prompt-003556,workload-002512,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=2.19; memory_gb=1.12; latency_budget_ms=48.7; energy_sensitivity=0.47; edge_locality=0.94",0.53,0.13,0.13,0.08,0.13
prompt-003557,workload-004600,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=3; regime=energy-scarcity; cpu=4.04; memory_gb=6.51; latency_budget_ms=207.6; energy_sensitivity=0.73; edge_locality=0.54",0.32,0.25,0.15,0.15,0.13
prompt-003558,workload-000900,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=normal; cpu=2.52; memory_gb=4.35; latency_budget_ms=54.1; energy_sensitivity=0.43; edge_locality=0.78",0.5,0.13,0.14,0.1,0.13
prompt-003559,workload-003112,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=burst; cpu=3.62; memory_gb=3.55; latency_budget_ms=44.5; energy_sensitivity=0.53; edge_locality=0.92",0.53,0.13,0.13,0.08,0.13
prompt-003560,workload-004212,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=energy-scarcity; cpu=6.82; memory_gb=19.00; latency_budget_ms=246.7; energy_sensitivity=0.85; edge_locality=0.29",0.15,0.35,0.14,0.1,0.26
prompt-003561,workload-002115,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=high-contention; cpu=1.69; memory_gb=4.58; latency_budget_ms=59.8; energy_sensitivity=0.48; edge_locality=0.81",0.53,0.13,0.13,0.08,0.13
prompt-003562,workload-000431,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=0.94; memory_gb=2.86; latency_budget_ms=38.2; energy_sensitivity=0.40; edge_locality=0.91",0.53,0.13,0.13,0.08,0.13
prompt-003563,workload-004184,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=energy-scarcity; cpu=0.87; memory_gb=3.40; latency_budget_ms=37.8; energy_sensitivity=0.41; edge_locality=0.80",0.48,0.18,0.1,0.08,0.16
prompt-003564,workload-004679,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=energy-scarcity; cpu=2.28; memory_gb=5.91; latency_budget_ms=111.2; energy_sensitivity=0.45; edge_locality=0.42",0.4,0.19,0.15,0.13,0.13
prompt-003565,workload-004582,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=energy-scarcity; cpu=4.31; memory_gb=15.19; latency_budget_ms=338.2; energy_sensitivity=0.94; edge_locality=0.09",0.15,0.35,0.14,0.1,0.26
prompt-003566,workload-000758,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=1; regime=normal; cpu=1.05; memory_gb=11.78; latency_budget_ms=252.7; energy_sensitivity=0.54; edge_locality=0.81",0.34,0.23,0.17,0.13,0.13
prompt-003567,workload-003680,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=1.45; memory_gb=1.83; latency_budget_ms=55.7; energy_sensitivity=0.60; edge_locality=0.91",0.53,0.13,0.13,0.08,0.13
prompt-003568,workload-002449,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=high-contention; cpu=1.30; memory_gb=4.44; latency_budget_ms=57.3; energy_sensitivity=0.49; edge_locality=0.76",0.56,0.1,0.14,0.1,0.1
prompt-003569,workload-003349,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=burst; cpu=3.47; memory_gb=24.55; latency_budget_ms=245.5; energy_sensitivity=0.99; edge_locality=0.21",0.2,0.3,0.17,0.1,0.23
prompt-003570,workload-003230,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=3; regime=burst; cpu=6.44; memory_gb=8.41; latency_budget_ms=206.5; energy_sensitivity=0.65; edge_locality=0.67",0.37,0.2,0.18,0.15,0.1
prompt-003571,workload-001607,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=high-contention; cpu=3.83; memory_gb=6.76; latency_budget_ms=111.1; energy_sensitivity=0.32; edge_locality=0.26",0.45,0.14,0.18,0.13,0.1
prompt-003572,workload-001279,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=high-contention; cpu=3.92; memory_gb=10.61; latency_budget_ms=339.0; energy_sensitivity=0.81; edge_locality=0.04",0.26,0.27,0.17,0.1,0.2
prompt-003573,workload-003336,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=burst; cpu=6.50; memory_gb=6.77; latency_budget_ms=268.5; energy_sensitivity=0.87; edge_locality=0.14",0.2,0.3,0.17,0.1,0.23
prompt-003574,workload-001844,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=high-contention; cpu=5.38; memory_gb=19.35; latency_budget_ms=230.4; energy_sensitivity=0.72; edge_locality=0.30",0.26,0.27,0.17,0.1,0.2
prompt-003575,workload-000765,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=2.29; memory_gb=13.30; latency_budget_ms=177.4; energy_sensitivity=0.55; edge_locality=0.22",0.31,0.23,0.18,0.15,0.13
prompt-003576,workload-004141,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=energy-scarcity; cpu=7.96; memory_gb=20.31; latency_budget_ms=245.0; energy_sensitivity=0.80; edge_locality=0.22",0.21,0.32,0.14,0.1,0.23
prompt-003577,workload-002787,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=burst; cpu=2.18; memory_gb=4.09; latency_budget_ms=116.1; energy_sensitivity=0.49; edge_locality=0.52",0.45,0.14,0.18,0.13,0.1
prompt-003578,workload-001821,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=high-contention; cpu=2.17; memory_gb=0.70; latency_budget_ms=46.0; energy_sensitivity=0.62; edge_locality=0.96",0.53,0.13,0.13,0.08,0.13
prompt-003579,workload-000644,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=normal; cpu=3.86; memory_gb=6.97; latency_budget_ms=282.4; energy_sensitivity=1.00; edge_locality=0.30",0.2,0.3,0.17,0.1,0.23
prompt-003580,workload-000695,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=3.37; memory_gb=1.39; latency_budget_ms=120.5; energy_sensitivity=0.22; edge_locality=0.62",0.45,0.14,0.18,0.13,0.1
prompt-003581,workload-001701,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=high-contention; cpu=3.29; memory_gb=7.62; latency_budget_ms=84.2; energy_sensitivity=0.41; edge_locality=0.36",0.45,0.14,0.18,0.13,0.1
prompt-003582,workload-001093,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=2.40; memory_gb=3.16; latency_budget_ms=50.6; energy_sensitivity=0.36; edge_locality=0.89",0.53,0.13,0.13,0.08,0.13
prompt-003583,workload-002488,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=3; regime=high-contention; cpu=6.63; memory_gb=14.49; latency_budget_ms=97.7; energy_sensitivity=0.46; edge_locality=0.56",0.37,0.2,0.18,0.15,0.1
prompt-003584,workload-002366,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=high-contention; cpu=4.76; memory_gb=4.15; latency_budget_ms=196.6; energy_sensitivity=0.65; edge_locality=0.34",0.31,0.23,0.18,0.15,0.13
prompt-003585,workload-004104,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=energy-scarcity; cpu=5.37; memory_gb=19.16; latency_budget_ms=295.4; energy_sensitivity=0.73; edge_locality=0.06",0.15,0.35,0.14,0.1,0.26
prompt-003586,workload-002134,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=high-contention; cpu=7.17; memory_gb=18.98; latency_budget_ms=303.7; energy_sensitivity=0.83; edge_locality=0.18",0.26,0.27,0.17,0.1,0.2
prompt-003587,workload-003344,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=burst; cpu=2.96; memory_gb=5.53; latency_budget_ms=249.8; energy_sensitivity=0.71; edge_locality=0.77",0.31,0.23,0.18,0.15,0.13
prompt-003588,workload-003050,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=burst; cpu=1.21; memory_gb=1.43; latency_budget_ms=105.9; energy_sensitivity=0.49; edge_locality=0.70",0.45,0.14,0.18,0.13,0.1
prompt-003589,workload-004102,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=energy-scarcity; cpu=0.90; memory_gb=2.29; latency_budget_ms=35.2; energy_sensitivity=0.64; edge_locality=0.83",0.48,0.18,0.1,0.08,0.16
prompt-003590,workload-004592,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=energy-scarcity; cpu=7.68; memory_gb=14.06; latency_budget_ms=286.7; energy_sensitivity=0.81; edge_locality=0.07",0.15,0.35,0.14,0.1,0.26
prompt-003591,workload-004307,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=energy-scarcity; cpu=6.03; memory_gb=16.53; latency_budget_ms=319.7; energy_sensitivity=0.78; edge_locality=0.05",0.15,0.35,0.14,0.1,0.26
prompt-003592,workload-001157,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=2.21; memory_gb=4.88; latency_budget_ms=78.7; energy_sensitivity=0.42; edge_locality=0.43",0.45,0.14,0.18,0.13,0.1
prompt-003593,workload-004073,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=energy-scarcity; cpu=3.07; memory_gb=2.61; latency_budget_ms=121.2; energy_sensitivity=0.45; edge_locality=0.37",0.4,0.19,0.15,0.13,0.13
prompt-003594,workload-003240,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=burst; cpu=4.01; memory_gb=9.42; latency_budget_ms=82.4; energy_sensitivity=0.42; edge_locality=0.41",0.45,0.14,0.18,0.13,0.1
prompt-003595,workload-002530,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=1.80; memory_gb=0.91; latency_budget_ms=35.1; energy_sensitivity=0.45; edge_locality=0.92",0.53,0.13,0.13,0.08,0.13
prompt-003596,workload-000833,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=3.09; memory_gb=5.42; latency_budget_ms=124.1; energy_sensitivity=0.24; edge_locality=0.52",0.45,0.14,0.18,0.13,0.1
prompt-003597,workload-000524,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=normal; cpu=7.06; memory_gb=12.35; latency_budget_ms=263.3; energy_sensitivity=0.94; edge_locality=0.04",0.2,0.3,0.17,0.1,0.23
prompt-003598,workload-003517,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=burst; cpu=1.17; memory_gb=2.18; latency_budget_ms=50.8; energy_sensitivity=0.39; edge_locality=0.86",0.59,0.1,0.13,0.08,0.1
prompt-003599,workload-002629,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=burst; cpu=4.41; memory_gb=1.73; latency_budget_ms=96.0; energy_sensitivity=0.26; edge_locality=0.28",0.45,0.14,0.18,0.13,0.1
prompt-003600,workload-003401,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=burst; cpu=4.10; memory_gb=23.70; latency_budget_ms=277.9; energy_sensitivity=0.74; edge_locality=0.24",0.2,0.3,0.17,0.1,0.23
prompt-003601,workload-003309,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=3; regime=burst; cpu=3.54; memory_gb=6.30; latency_budget_ms=167.1; energy_sensitivity=0.41; edge_locality=0.47",0.37,0.2,0.18,0.15,0.1
prompt-003602,workload-000252,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=1.55; memory_gb=0.71; latency_budget_ms=43.4; energy_sensitivity=0.52; edge_locality=0.88",0.53,0.13,0.13,0.08,0.13
prompt-003603,workload-003010,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=burst; cpu=1.40; memory_gb=1.66; latency_budget_ms=99.5; energy_sensitivity=0.34; edge_locality=0.54",0.45,0.14,0.18,0.13,0.1
prompt-003604,workload-002766,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=burst; cpu=1.68; memory_gb=6.48; latency_budget_ms=77.1; energy_sensitivity=0.42; edge_locality=0.29",0.45,0.14,0.18,0.13,0.1
prompt-003605,workload-002132,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=3; regime=high-contention; cpu=3.78; memory_gb=4.50; latency_budget_ms=149.6; energy_sensitivity=0.50; edge_locality=0.45",0.37,0.2,0.18,0.15,0.1
prompt-003606,workload-002947,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=burst; cpu=4.12; memory_gb=7.37; latency_budget_ms=337.0; energy_sensitivity=0.99; edge_locality=0.24",0.2,0.3,0.17,0.1,0.23
prompt-003607,workload-000947,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=normal; cpu=1.15; memory_gb=4.18; latency_budget_ms=101.6; energy_sensitivity=0.27; edge_locality=0.55",0.45,0.14,0.18,0.13,0.1
prompt-003608,workload-003474,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=3; regime=burst; cpu=1.14; memory_gb=2.77; latency_budget_ms=116.1; energy_sensitivity=0.30; edge_locality=0.70",0.51,0.11,0.18,0.13,0.07
prompt-003609,workload-003692,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=burst; cpu=4.84; memory_gb=14.30; latency_budget_ms=251.5; energy_sensitivity=0.56; edge_locality=0.47",0.31,0.23,0.18,0.15,0.13
prompt-003610,workload-002297,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=high-contention; cpu=4.69; memory_gb=14.48; latency_budget_ms=267.4; energy_sensitivity=0.92; edge_locality=0.04",0.26,0.27,0.17,0.1,0.2
prompt-003611,workload-000114,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=2.30; memory_gb=2.14; latency_budget_ms=39.2; energy_sensitivity=0.62; edge_locality=0.81",0.53,0.13,0.13,0.08,0.13
prompt-003612,workload-001965,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=high-contention; cpu=1.89; memory_gb=4.39; latency_budget_ms=39.5; energy_sensitivity=0.38; edge_locality=0.90",0.53,0.13,0.13,0.08,0.13
prompt-003613,workload-004245,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=energy-scarcity; cpu=2.76; memory_gb=2.87; latency_budget_ms=49.9; energy_sensitivity=0.51; edge_locality=0.84",0.48,0.18,0.1,0.08,0.16
prompt-003614,workload-004568,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=energy-scarcity; cpu=1.62; memory_gb=4.52; latency_budget_ms=94.8; energy_sensitivity=0.22; edge_locality=0.53",0.4,0.19,0.15,0.13,0.13
prompt-003615,workload-000435,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=1; regime=normal; cpu=2.44; memory_gb=11.03; latency_budget_ms=125.2; energy_sensitivity=0.87; edge_locality=0.57",0.31,0.23,0.18,0.15,0.13
prompt-003616,workload-004946,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=energy-scarcity; cpu=1.60; memory_gb=0.83; latency_budget_ms=52.2; energy_sensitivity=0.43; edge_locality=0.88",0.48,0.18,0.1,0.08,0.16
prompt-003617,workload-001566,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=3; regime=high-contention; cpu=3.59; memory_gb=1.95; latency_budget_ms=102.7; energy_sensitivity=0.28; edge_locality=0.30",0.51,0.11,0.18,0.13,0.07
prompt-003618,workload-004085,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=energy-scarcity; cpu=4.07; memory_gb=6.07; latency_budget_ms=145.8; energy_sensitivity=0.66; edge_locality=0.54",0.26,0.28,0.15,0.15,0.16
prompt-003619,workload-003432,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=burst; cpu=9.20; memory_gb=6.66; latency_budget_ms=320.9; energy_sensitivity=1.00; edge_locality=0.31",0.26,0.27,0.17,0.1,0.2
